,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False
561,0,3,male,40.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
630,1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True
661,0,3,male,40.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False
688,0,3,male,18.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
836,0,3,male,21.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
856,1,1,female,45.0,1,1,164.8667,S,First,woman,False,,Southampton,yes,False
348,1,3,male,3.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False
519,0,3,male,32.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
881,0,3,male,33.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
642,0,3,female,2.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
619,0,2,male,26.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
811,0,3,male,39.0,0,0,24.15,S,Third,man,True,,Southampton,no,True
666,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
782,0,1,male,29.0,0,0,30.0,S,First,man,True,D,Southampton,no,True
733,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
455,1,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True
631,0,3,male,51.0,0,0,7.0542,S,Third,man,True,,Southampton,no,True
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
360,0,3,male,40.0,1,4,27.9,S,Third,man,True,,Southampton,no,False
610,0,3,female,39.0,1,5,31.275,S,Third,woman,False,,Southampton,no,False
412,1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False
823,1,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,yes,False
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
494,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
731,0,3,male,11.0,0,0,18.7875,C,Third,child,False,,Cherbourg,no,True
749,0,3,male,31.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False
732,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
300,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True
851,0,3,male,74.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True
689,1,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False
323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False
768,0,3,male,,1,0,24.15,Q,Third,man,True,,Queenstown,no,False
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False
576,1,2,female,34.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True
722,0,2,male,34.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
393,1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
548,0,3,male,33.0,1,1,20.525,S,Third,man,True,,Southampton,no,False
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False
441,0,3,male,20.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
625,0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True
596,1,2,female,,0,0,33.0,S,Second,woman,False,,Southampton,yes,True
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
508,0,3,male,28.0,0,0,22.525,S,Third,man,True,,Southampton,no,True
314,0,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
563,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
702,0,3,female,18.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False
454,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
772,0,2,female,57.0,0,0,10.5,S,Second,woman,False,E,Southampton,no,True
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
628,0,3,male,26.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
834,0,3,male,18.0,0,0,8.3,S,Third,man,True,,Southampton,no,True
416,1,2,female,34.0,1,1,32.5,S,Second,woman,False,,Southampton,yes,False
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
796,1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
716,1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
380,1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True
814,0,3,male,30.5,0,0,8.05,S,Third,man,True,,Southampton,no,True
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
675,0,3,male,18.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
396,0,3,female,31.0,0,0,7.8542,S,Third,woman,False,,Southampton,no,True
431,1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
586,0,2,male,47.0,0,0,15.0,S,Second,man,True,,Southampton,no,True
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False
518,1,2,female,36.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True
377,0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False
532,0,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False
485,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
466,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
670,1,2,female,40.0,1,1,39.0,S,Second,woman,False,,Southampton,yes,False
641,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
574,0,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
775,0,3,male,18.0,0,0,7.75,S,Third,man,True,,Southampton,no,True
524,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
19,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True
634,0,3,female,9.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
395,0,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True
295,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
366,1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
682,0,3,male,20.0,0,0,9.225,S,Third,man,True,,Southampton,no,True
789,0,1,male,46.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
398,0,2,male,23.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
198,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
615,1,2,female,24.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
372,0,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
551,0,2,male,27.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
614,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
330,1,3,female,,2,0,23.25,Q,Third,woman,False,,Queenstown,yes,False
622,1,3,male,20.0,1,1,15.7417,C,Third,man,True,,Cherbourg,yes,False
669,1,1,female,,1,0,52.0,S,First,woman,False,C,Southampton,yes,False
703,0,3,male,25.0,0,0,7.7417,Q,Third,man,True,,Queenstown,no,True
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True
